"Navigate","Go to Line","⌃G","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Edit","Run Query command","⌃↩","Editing HQL"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Navigate","Open Declaration","F3","JavaScript View"
"Task","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Run/Debug","Debug","⌘F11","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Refactor - Scala","Inline Local","⌥⌘I","Editing Scala Source"
"File","Rename","F2","In Windows"
"AnyEdit Tools","Open Type under Cursor","⌃⌥T","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Task","Mark Task Complete","⇧⌥C","In Tasks View"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Navigate","Open Type","⇧⌘T","In Windows"
"Views","Show View ()","⌥⌘Q J","JavaScript View"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Text Editing","Text End","⌘↘","Editing Text"
"Source","Copy Qualified Name","⇧⌘C","Editing Java Source"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Task","New Local Task","Insert","In Tasks View"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"AnyEdit Tools","Invert Case","⌃⌥I","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"File","Save","⌘S","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Text Editing","Delete Line","⌘D","Editing Text"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"AnyEdit Tools","Spaces to Tabs","⌃⌥Tab","Editing Text"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"WindowBuilder Pro","Switch between Source/Design Views","F12","Editing Text"
"Window","Next View","⌘F7","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Scala Editor","Open Implicit","⌥F3","Editing Scala Source"
"Refactor - Scala","Refactor Quick Menu","⌥⌘T","Editing Scala Source"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Task","New Subtask","⇧⌥N","In Tasks View"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Matching Bracket","⇧⌘P","Editing in Structured Text Editors"
"Edit","Delete","⌦","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Navigate","Previous","⇧⌘.","In Windows"
"AnyEdit Tools","Chars to Html Entities","⌃⌥E","Editing Text"
"Task","Mark Task Unread","⇧⌥U","In Tasks View"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Views","Show View","⌥⌘Q Q","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Server","Publish","⌥⌘P","In Servers View"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Edit","Incremental Find","⌘J","Editing Text"
"File","Close","⌘W","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Task","Show Context Quick View","⇧⌥⌘→","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Resource","⌘T","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Text Editing","Previous Word","⌥←","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Task","Open Selected Task","⌘↩","In Tasks View"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Navigate","Backward History","⌘[","In Windows"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Uncategorized","ToggleFullScreenEscape","Esc","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Window","Previous View","⇧⌘F7","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Scala Editor","Debug Scala Application","⇧⌥D S","In Windows"
"Task","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Search","Declaration in Workspace","⌘G","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Line Start","⌘←","Editing Text"
"Task","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Task","Mark Task Read","⇧⌥R","In Tasks Editor"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"AnyEdit Tools","Capitalize","⌃⌥C","Editing Text"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Navigate","Quick Outline","⌘R","Editing in Structured Text Editors"
"Text Editing","Text Start","⌘↖","Editing Text"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"File","Save All","⇧⌘S","In Windows"
"View","Zoom Out","⌘-","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Window","New Editor (Side by Side)","⌘8","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Git","Commit...","⌘#","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Task","Make Landmark","⇧⌥⌘↑","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Project","Build All","⌘B","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"AnyEdit Tools","Tabs to Spaces","⌃⌥Space","Editing Text"
"Search","File Search","⇧⌘F","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"File","Properties","⌥↩","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Refactor - Scala","Rename","⌥⌘R","Editing Scala Source"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Navigate","Quick Outline","⌘R","Editing JavaScript Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Step Return","F7","Debugging"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Task","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Worksheet commands","Evaluate Script","⇧⌘B","Editing Scala Worksheet"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Server","Debug","⌥⌘D","In Servers View"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"AnyEdit Tools","Open File under Cursor","⌃⌥R","Editing Text"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Run/Debug","Run to Line","⌘R","Debugging"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"File","Close All","⇧⌘W","In Windows"
"Scala Editor","Toggle Implicits Display","⇧⌘I","Editing Scala Source"
"Server","Run","⌥⌘R","In Servers View"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Views","Show View (Hierarchy)","⌥⌘Q T","JavaScript View"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Navigate","Quick Hierarchy","⌃T","Editing Java Source"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Task","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Refactor - Scala","Extract Method","⌥⌘M","Editing Scala Source"
"Run/Debug","EOF","⌃D","In I/O Console"
"Task","New Subtask","⇧Insert","In Tasks View"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"File","Properties","⌘I","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Refactor - Scala","Organize Imports","⇧⌘O","Editing Scala Source"
"Navigate","Quick Outline","⌘O","PDE editor"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Navigate","Quick Hierarchy","⌃T","Editing Java Source"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Edit","Find Next","⌘G","Editing Text"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"SQL Editor","Execute SQL-Batch","⌥⌘E","SQL Editor"
"Edit","Show Man Pages","F2","Editing Shell Source"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"File","New menu","⌥⌘N","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Scala Editor","Show Type","⇧⌘W T","Editing Scala Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"AnyEdit Tools","Camel <-> Underscores","⌃⌥K","Editing Text"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Show In...","⌥⌘W","In Windows"
